003320009331,ARM&HAM,2X CNCT SENST SKIN,6,75   FZ,03/05/2017,19.76,0.6,35.46,15.70,2.62,19.26,,,,,,,,,19.76,N,N
001510000163,CREAMETTE,PASTA SHIPPER 44CT,44,1    EA,01/15/2017,30.36,0.6,55,24.64,0.56,,,30.36,30.36,30.36,26.40,26.40,26.40,25.08,26.40,Y,Y
007130080068,RONZONI,RONZONI PASTA,54,12OZ,01/15/2017,37.26,0.6,67.5,30.24,0.56,,,37.26,37.26,37.26,32.40,32.40,32.40,,32.40,Y,Y
007130005004,RONZONI,PASTA SHIPPER 54PK,54,1EA,01/15/2017,37.26,0.6,67.5,30.24,0.56,,,37.26,37.26,37.26,32.40,32.40,32.40,,32.40,Y,Y
003340072116,RONZONI,HH PATSA BONUS,40,16   OZ,01/15/2017,27.6,0.6,50,22.40,0.56,,,27.6,27.6,27.6,24.0,24.0,24.0,,24.0,Y,Y
004130301138,ESSEVRYDY,SP/OYSTR CRKR SHPR,36,9OZ,01/22/2017,19.8,0.6,36,16.20,0.45,10.8,12.6,12.6,19.8,,,,9.0,9.0,9.0,Y,N
003000006441,QUAKER,OATMLSQ BRWNSGR,12,14.50OZ,02/05/2017,23.88,0.5,43.68,19.80,1.65,18.97,18.97,18.97,,,23.88,23.88,23.88,23.88,,N,N
003000006153,QUAKER,OATMLSQ CINNAMON,12,14.50OZ,02/05/2017,23.88,0.5,43.68,19.80,1.65,18.97,18.97,18.97,,,23.88,23.88,23.88,23.88,,N,N
003000006442,QUAKER,OATMLSQ GLDNMPLE,12,14.50OZ,02/05/2017,23.88,0.5,43.68,19.80,1.65,18.97,18.97,18.97,,,23.88,23.88,23.88,23.88,,N,N
009404671047, H*IMUSA,"9"" TIN GRATER",3,1CT,01/01/2017,2.34,0.5,4.31,1.97,0.66,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,N,N
005010040259,&HLTHYCHC,SOUP SHIPPER,240,15OZ,01/29/2017,223.4,0.5,412.8,189.40,0.79,218.4,218.4,218.4,218.4,223.4,223.4,223.4,218.4,223.4,221.0,Y,Y
002700049016,&ORVREDEN,POP UP BOWL MX DSP,60,8.7OZ,01/01/2017,77.4,0.5,143.4,66.00,1.10,77.4,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,,Y,Y
005010000000,HLTHY,49CS SOUP PALLET,588,1CT,01/29/2017,545.68,0.5,1009.71,464.03,0.79,533.43,533.43,533.43,533.43,545.68,545.68,545.68,533.43,545.68,539.80,Y,Y
064420941060,DUN HINES,CAKE MIX LYR SPICE,12,16.5 OZ,02/05/2017,13.09,0.5,24.36,11.27,0.94,,,,,,13.09,13.09,13.09,12.84,,N,N
064420941070,DUN HINES,FUDGE MARBLE CAKE,12,16.5 OZ,02/05/2017,13.09,0.5,24.36,11.27,0.94,,,,,,13.09,13.09,13.09,12.84,,N,N
064420941200,DUN HINES,CAKE MX RED VELVET,12,16.5 OZ,02/05/2017,13.09,0.5,24.36,11.27,0.94,,,,,,13.09,13.09,13.09,12.84,,N,N
064420941280,DUN HINES,CAKE MIX VANILLA,12,16.5 OZ,02/05/2017,13.09,0.5,24.36,11.27,0.94,,,,,,13.09,13.09,13.09,12.84,,N,N
064420941210,DUN HINES,BLUE VLVT CAKE MIX,12,16.5 OZ,02/05/2017,13.09,0.5,24.36,11.27,0.94,,,,,,13.09,13.09,13.09,12.84,,N,N
064420941240,DUN HINES,PINK VLVT CAKE MIX,12,16.5 OZ,02/05/2017,13.09,0.5,24.36,11.27,0.94,,,,,,13.09,13.09,13.09,12.84,,N,N
003000031381,QUAKER,CNC CERL SPRNKLDNT,14,12.4 OZ,02/05/2017,26.7,0.5,49.84,23.14,1.65,20.69,20.69,20.69,,,26.7,26.7,26.7,26.7,,N,N
003000006567,QUAKER,CAPCRCH CRCHBRIES,14,13   OZ,02/05/2017,26.7,0.5,49.84,23.14,1.65,20.69,20.69,20.69,,,26.7,26.7,26.7,26.7,,N,N
003000031168,QUAKER,CAPTN CRUNCH OOPS,14,11.5OZ,02/05/2017,26.7,0.5,49.84,23.14,1.65,20.69,20.69,20.69,,,26.7,26.7,26.7,26.7,,N,N
003000006531,QUAKER,CPNCRCH RED BOX,14,14OZ,02/05/2017,26.7,0.5,49.84,23.14,1.65,20.69,20.69,20.69,,,26.7,26.7,26.7,26.7,,N,N
003000006507,QUAKER,CPNCRCH PNUTBUTR,14,12.5 OZ,02/05/2017,26.7,0.5,49.84,23.14,1.65,20.69,20.69,20.69,,,26.7,26.7,26.7,26.7,,N,N
003160400000,NATURE MD,41CT BONUS BOTTLE,41,125  CT,01/01/2017,191.11,0.5,358.21,167.10,4.08,191.11,191.11,191.11,191.11,191.11,,,,,,Y,Y
071036356845,APPLIED N,14DAY CLNS/TFB DSP,12,1    CT,01/01/2017,48.0,0.5,89.88,41.88,3.49,48.0,48.0,48.0,48.0,48.0,,,,,,Y,Y
004610040096,SARGENTO,SH ARTBL MOZZ&PROV,12,8    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610041106,SARGENTO,SHRD 4 CHDR BLEND,12,7.5  OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610040085,SARGENTO,SHR RF 4CHS MEX,12,8    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610040094,SARGENTO,ARTSN BLN DBL CHED,12,8    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610040091,SARGENTO,6 CHEESE ITALIAN,12,8    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610041008,SARGENTO,AUTHENTIC MEXICAN,12,8    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610040010,SARGENTO,ARTISAN BLEND MOZZ,12,8    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610040002,SARGENTO,TACO SHRDED CHEESE,12,8    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610040082,SARGENTO,RF MOZZARELLA CHSE,12,8    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610040041,SARGENTO,NACHO & TACO CHSE,12,8    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
004610040059,SARGENTO,ARTS BLD PARM SHRD,12,5    OZ,01/01/2017,20.05,0.5,37.83,17.78,1.48,20.05,20.05,20.05,,,,,,13.33,13.33,N,N
002700062321,ORV REDEN,SALTED CARMEL PCRN,12,8.7  OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700049008,ORV REDEN,KETTLE CORN 3CT,12,8.7OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700049023,ORV REDEN,SMARTPOP BTR 3PK,12,8.1OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700049016,ORV REDEN,PPCRN 3PK MVTH BTR,12,8.7OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700049030,ORV REDEN,POPCORN 3PK BUTTER,12,8.7OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700048589,ORV REDEN,CHEDDAR 3PK,12,9    OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700049025,ORV REDEN,POPCORN BR LIGHT,12,8.7  OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700048637,ORV REDEN,TENDER WHT 3PK MW,12,8.7  OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700049056,ORV REDEN,CLSC RCPE PCRN 3CT,12,8.7OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700052308,ORVILLE,ORV SP KK 3CT BAGS,12,8.07 OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700048855,ORVREDEN(,POPCORN MW NATURAL,12,9.9  OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700050000,ORVILLE,SALT AND LIME 3PK,12,6.2  OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700037233,ORV REDEN,ZSTY PPR BTR PPCRN,12,8.07 OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700058823,ORV REDEN,ORV 12/2BAGPOURCAR,12,11.57OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700048289,ORV REDEN,MNI MVITHTR BTR 4P,12,6OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700037231,ORVREDEN,GN CL BTR SS,12,8.07 OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
002700037234,ORVREDEN,POPCORN GN SSLTD,12,8.07 OZ,01/22/2017,15.13,0.5,28.68,13.55,1.13,,,,15.13,15.13,15.13,14.88,,,,N,N
004010000000,FLEISCHMN,VERTICAL SPLT SHPR,160,0.75OZ,01/01/2017,126.4,0.5,241.6,115.20,0.72,126.4,,,,,,,,,,Y,Y
003500000000,COLGATE,TOOTHPASTE 48PC FS,48,4    OZ,01/01/2017,35.28,0.5,67.92,32.64,0.68,35.28,,29.76,29.76,29.76,29.76,29.76,29.76,29.76,,Y,Y
005010040224,HLTHY CHC,BF POT ROAST CA,12,15OZ,01/29/2017,10.69,0.5,20.64,9.95,0.83,,,,,10.69,10.69,10.69,10.44,10.69,10.69,N,N
005010040259,HLTHY CHC,SOUP CHICKEN/RICE,12,15   OZ,01/29/2017,10.69,0.5,20.64,9.95,0.83,,,,,10.69,10.69,10.69,10.44,10.69,10.69,N,N
005010040797,HLTHY CH,CHICKEN & DUMP SP,12,15OZ,01/29/2017,10.69,0.5,20.64,9.95,0.83,,,,,10.69,10.69,10.69,10.44,10.69,10.69,N,N
005010040260,HL CHOICE,SOUP CHICKEN NDLES,12,15OZ,01/29/2017,10.69,0.5,20.64,9.95,0.83,,,,,10.69,10.69,10.69,10.44,10.69,10.69,N,N
